IDENTIFICADOR;VALOR1;VALOR2;VALOR3;VALOR4;VALOR5
1017199097;DICIEMBRE.wav;TELEVISION.wav;2647;NOVIEMBRE.wav;
1017257954;DICIEMBRE.wav;TELEVISION.wav;7416;NOVIEMBRE.wav;
1018454998;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
1019049583;DICIEMBRE.wav;TELEVISION.wav;29900;NOVIEMBRE.wav;
1019066559;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
1020411447;DICIEMBRE.wav;TELEVISION.wav;6068;NOVIEMBRE.wav;
22698986;DICIEMBRE.wav;TELEVISION.wav;4053;NOVIEMBRE.wav;
13743516;DICIEMBRE.wav;INTERNET.wav;33548;NOVIEMBRE.wav;
15515116;DICIEMBRE.wav;TELEVISION.wav;50000;NOVIEMBRE.wav;
16453097;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
1214714903;DICIEMBRE.wav;TELEVISION.wav;7527;NOVIEMBRE.wav;
1152695466;DICIEMBRE.wav;TELEVISION.wav;6742;NOVIEMBRE.wav;
1128435947;DICIEMBRE.wav;TELEVISION.wav;4719;NOVIEMBRE.wav;
1130645771;DICIEMBRE.wav;TELEVISION.wav;11574;NOVIEMBRE.wav;
1125780240;DICIEMBRE.wav;INTERNET.wav;65000;NOVIEMBRE.wav;
1040038652;DICIEMBRE.wav;DUO_TV_BA.wav;17244;NOVIEMBRE.wav;
1045426608;DICIEMBRE.wav;TELEVISION.wav;8765;NOVIEMBRE.wav;
1037572875;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
1020467188;DICIEMBRE.wav;TELEVISION.wav;8481;NOVIEMBRE.wav;
1017174204;DICIEMBRE.wav;INTERNET.wav;9871;NOVIEMBRE.wav;
1005025226;DICIEMBRE.wav;INTERNET.wav;20968;NOVIEMBRE.wav;
1001054296;DICIEMBRE.wav;TRIO.wav;14524;NOVIEMBRE.wav;
98549438;DICIEMBRE.wav;DUO_TV_BA.wav;9758;NOVIEMBRE.wav;
92537610;DICIEMBRE.wav;TELEFONIA.wav;1192;NOVIEMBRE.wav;
8215361;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
8215993;DICIEMBRE.wav;INTERNET.wav;7255;NOVIEMBRE.wav;
70826425;DICIEMBRE.wav;DUO_TV_BA.wav;1348;NOVIEMBRE.wav;
43918771;DICIEMBRE.wav;INTERNET.wav;14900;NOVIEMBRE.wav;
43566034;DICIEMBRE.wav;INTERNET.wav;42000;NOVIEMBRE.wav;
43155777;DICIEMBRE.wav;TELEVISION.wav;2097;NOVIEMBRE.wav;
43205625;DICIEMBRE.wav;INTERNET.wav;66500;NOVIEMBRE.wav;
39295696;DICIEMBRE.wav;TELEFONIA.wav;258;NOVIEMBRE.wav;
39760636;DICIEMBRE.wav;TELEVISION.wav;21897;NOVIEMBRE.wav;
15442213;DICIEMBRE.wav;TELEVISION.wav;3371;NOVIEMBRE.wav;
14272146;DICIEMBRE.wav;TELEVISION.wav;2895;NOVIEMBRE.wav;
1152202703;DICIEMBRE.wav;TELEVISION.wav;2697;NOVIEMBRE.wav;
1128404488;DICIEMBRE.wav;TELEVISION.wav;2895;NOVIEMBRE.wav;
1098683363;DICIEMBRE.wav;TRIO.wav;9915;NOVIEMBRE.wav;
1037575626;DICIEMBRE.wav;TELEFONIA.wav;1161;NOVIEMBRE.wav;
1017122890;DICIEMBRE.wav;TELEFONIA.wav;27644;NOVIEMBRE.wav;
98634784;DICIEMBRE.wav;TELEVISION.wav;6068;NOVIEMBRE.wav;
98699030;DICIEMBRE.wav;TELEVISION.wav;4719;NOVIEMBRE.wav;
